tipo_cruzamento,cidade,radar_leman_endereco,radar_leman_surface_m2,radar_leman_surface_terrain_m2,radar_leman_nb_pieces,radar_leman_link,concorrencia_agencia,concorrencia_url,concorrencia_superficie_m2,concorrencia_superficie_terreno_m2,concorrencia_num_divisoes,diferenca_habitavel_pct,diferenca_terreno_pct,bate_por,divisoes_compativeis
casa,Thonon-les-Bains,"1 Chemin du Pré des Moines, 74200 Thonon-les-Bains",120.0,1083.0,6.0,"https://www.google.com/maps/search/?api=1&query=46.365992,6.50191",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,1.84,,habitavel,
casa,Thonon-les-Bains,"16 Avenue de la Patinerie, 74200 Thonon-les-Bains",90.0,1068.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.362401,6.481142",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/maison-5-pieces-52577830,88.0,,5.0,2.22,,habitavel,True
casa,Évian-les-Bains,"33 Avenue De Grande - Rive - Rd 1005, 74500 Évian-les-Bains",160.0,535.0,8.0,"https://www.google.com/maps/search/?api=1&query=46.402873,6.611493",Leman Property Évian,https://www.leman-property.com/vente/maison/evian-les-bains/cottage-entierement-renove-dans-un-quartier-devian-tres-prise/,161.0,,,0.62,,habitavel,
casa,Évian-les-Bains,"36 Avenue De Larringes, 74500 Évian-les-Bains",157.0,697.0,8.0,"https://www.google.com/maps/search/?api=1&query=46.396087,6.58193",Leman Property Évian,https://www.leman-property.com/vente/maison/evian-les-bains/cottage-entierement-renove-dans-un-quartier-devian-tres-prise/,161.0,,,2.48,,habitavel,
casa,Évian-les-Bains,"23 Avenue De Larringes, 74500 Évian-les-Bains",157.0,985.0,8.0,"https://www.google.com/maps/search/?api=1&query=46.396201,6.581991",Leman Property Évian,https://www.leman-property.com/vente/maison/evian-les-bains/cottage-entierement-renove-dans-un-quartier-devian-tres-prise/,161.0,,,2.48,,habitavel,
casa,Évian-les-Bains,"14 Boulevard Du Royal, 74500 Évian-les-Bains",159.0,1057.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.395675,6.584021",Leman Property Évian,https://www.leman-property.com/vente/maison/evian-les-bains/cottage-entierement-renove-dans-un-quartier-devian-tres-prise/,161.0,,,1.24,,habitavel,
casa,Évian-les-Bains,"6 Avenue De Grande - Rive - Rd 1005, 74500 Évian-les-Bains",160.0,592.0,8.0,"https://www.google.com/maps/search/?api=1&query=46.40294,6.611506",Leman Property Évian,https://www.leman-property.com/vente/maison/evian-les-bains/cottage-entierement-renove-dans-un-quartier-devian-tres-prise/,161.0,,,0.62,,habitavel,
casa,Thonon-les-Bains,"11 Chemin de la Forêt, 74200 Thonon-les-Bains",83.0,1509.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.387661,6.493257",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/maison-4-pieces-52407645,85.0,,4.0,2.35,,habitavel,True
casa,Thonon-les-Bains,"5 Chemin des Oiseaux, 74200 Thonon-les-Bains",110.0,730.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.357793,6.454296",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/maison-5-pieces-52196942,109.0,746.0,5.0,0.91,2.14,habitavel,True
casa,Thonon-les-Bains,"16 Chemin des Moulins de la Versoie, 74200 Thonon-les-Bains",116.0,1221.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.352467,6.472779",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,1.52,,habitavel,
casa,Thonon-les-Bains,"13 Avenue de la Patinerie, 74200 Thonon-les-Bains",90.0,562.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.362363,6.480944",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/maison-5-pieces-52577830,88.0,,5.0,2.22,,habitavel,True
casa,Thonon-les-Bains,"35 Chemin de Mireille, 74200 Thonon-les-Bains",100.0,1188.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.366062,6.461779",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Thonon-les-Bains,"15 Chemin des Clerges, 74200 Thonon-les-Bains",,1075.0,,"https://www.google.com/maps/search/?api=1&query=46.373187,6.472732",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/maison-7-pieces-52813436,160.0,1085.0,7.0,,0.92,terreno,
casa,Thonon-les-Bains,"3 Avenue de Corzent, 74200 Thonon-les-Bains",115.0,467.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.372644,6.474213",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,2.37,,habitavel,
casa,Thonon-les-Bains,"2 Avenue de Corzent, 74200 Thonon-les-Bains",115.0,30.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.372572,6.474286",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,2.37,,habitavel,
casa,Évian-les-Bains,"58 Avenue Des Grottes, 74500 Évian-les-Bains",103.0,463.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.401862,6.611212",Agence Barnoud Évian,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/2-evian-les-bains/1-maison/t5/7576-chalet-en-bois-avec-pleine-vue-lac-leman/,101.74,,,1.22,,habitavel,
casa,Thonon-les-Bains,"23 Chemin de Mireille, 74200 Thonon-les-Bains",100.0,600.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.366008,6.46194",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Thonon-les-Bains,"3 Chemin du Pré des Moines, 74200 Thonon-les-Bains",120.0,1100.0,6.0,"https://www.google.com/maps/search/?api=1&query=46.366029,6.502109",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,1.84,,habitavel,
casa,Thonon-les-Bains,"8 Rue des Prés de Vongy, 74200 Thonon-les-Bains",100.0,168.0,3.0,"https://www.google.com/maps/search/?api=1&query=46.383289,6.504179",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
